video_id,comment_text,likes,replies,comment_published_at,clean_comment
jCE1Ol3PYDs,He has the exact same hairstyle as Phil Collin’s😂😂😂,0,0,2026-03-22T13:59:31Z,he has the exact same hairstyle as phil collin s
jCE1Ol3PYDs,Hello❤,1,0,2026-03-22T13:59:23Z,hello
jCE1Ol3PYDs,"Mr Beast ky aap mujhe 50 lakhs de sakh te ho 
Me sabhi Youtuber se puch raha hu or mujhe aappar
Bharosa hai😢",0,0,2026-03-22T13:57:45Z,mr beast ky aap mujhe 50 lakhs de sakh te ho me sabhi youtuber se puch raha hu or mujhe aappar bharosa hai
jCE1Ol3PYDs,But why is all the people's reactions always seem fake,0,0,2026-03-22T13:53:03Z,but why is all the people s reactions always seem fake
jCE1Ol3PYDs,Mrbeast please India kurukshetra ma pehowa me Dhanirampur ma aana,0,0,2026-03-22T13:51:50Z,mrbeast please india kurukshetra ma pehowa me dhanirampur ma aana
jCE1Ol3PYDs,Can I have the vault?,0,0,2026-03-22T13:50:06Z,can i have the vault
jCE1Ol3PYDs,"OMG 😱 
I NEED I NEED GIVE ME BRO",0,0,2026-03-22T13:49:00Z,omg i need i need give me bro
jCE1Ol3PYDs,Maine subscribe karke Rakha Hai mister aap mujhe kitne rupaye doge 10000000,0,0,2026-03-22T13:47:48Z,maine subscribe karke rakha hai mister aap mujhe kitne rupaye doge 10000000
jCE1Ol3PYDs,Mrbeast aapki rel bahut acche Hain🎉🎉🎉❤❤❤❤,0,0,2026-03-22T13:47:07Z,mrbeast aapki rel bahut acche hain
jCE1Ol3PYDs,ma boy imediat facii 500M ❤❤,0,0,2026-03-22T13:46:11Z,ma boy imediat facii 500m
jCE1Ol3PYDs,Den toi gonher go 😱🔥,0,0,2026-03-22T13:44:53Z,den toi gonher go
jCE1Ol3PYDs,10000000000,0,0,2026-03-22T13:44:47Z,10000000000
jCE1Ol3PYDs,I hate Mr beast because of the seniors Vs young people's like how is old people's supposed to dodge them,0,0,2026-03-22T13:43:02Z,i hate mr beast because of the seniors vs young people s like how is old people s supposed to dodge them
